method,image_id,sr_path,hr_path,lr_path,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS
SwinSR,DSC_1474,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1474_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1474_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_21.png,2803.948486328125,4.726129098906267,0.039824217557907104,23.732467469128466,0.8015140891075134,nan,nan
SwinSR,DSC_1575,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1575_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1575_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_22.png,2803.208740234375,3.675576323767351,0.04226183891296387,21.84870708731859,0.574893573919932,nan,nan
SwinSR,DSC_1583,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1583_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1583_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_23.png,2804.7001953125,6.256508903353058,0.03650776296854019,25.001842891390584,0.7638179659843445,nan,nan
SwinSR,DSC_1599,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1599_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1599_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_24.png,2816.719482421875,6.304897470040902,0.02448716014623642,27.51674744079754,0.8476735750834147,nan,nan
SwinSR,DSC_1603,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_DSC_1603_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/DSC_1603_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_25.png,2807.976318359375,6.664781959945984,0.03806287422776222,23.515520707738112,0.7477713028589884,nan,nan
SwinSR,IMG_107,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_IMG_107_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/IMG_107_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_26.png,2824.07177734375,5.371577244089401,0.04161923751235008,24.806969941822878,0.8311973611513773,nan,nan
SwinSR,IMG_113,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_IMG_113_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/IMG_113_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_27.png,2799.91064453125,4.4627922624431555,0.09765183180570602,18.226734833199522,0.536039133866628,nan,nan
SwinSR,IMG_118,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_IMG_118_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/IMG_118_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_28.png,2800.542236328125,5.008799719069801,0.07585488259792328,18.40998981328886,0.6309994260470072,nan,nan
SwinSR,IMG_125,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_IMG_125_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/IMG_125_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_29.png,2812.27294921875,3.8608346752728355,0.07377900928258896,20.910546194718993,0.7357643246650696,nan,nan
SwinSR,IMG_130,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_IMG_130_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/IMG_130_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_30.png,2813.351318359375,5.480518649606286,0.04014992713928223,25.29839477441491,0.8278477986653646,nan,nan
SwinSR,IMG_140,/data/projectwork/sr_output/swinIr_Inference/SwinIR_results/Dreal/DRealSR_all_x4_IMG_140_x1.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/IMG_140_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_31.png,2821.765625,6.018466570483622,0.023742275312542915,30.07976137100721,0.9036712447802225,nan,nan
