method,image_id,sr_path,hr_path,lr_path,D_WACV,NIQE,LR_content,PSNR,SSIM,LPIPS,DISTS
HAT,panasonic_233,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_233_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_233_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_70.png,2809.70556640625,7.161581566302852,0.033293016254901886,31.15560724081576,0.8908268411954244,0.24874639511108398,0.20705640316009521
HAT,panasonic_43,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_43_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_43_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_71.png,2799.37939453125,3.5499947984870377,0.03298819810152054,21.934017402379645,0.4362025260925293,0.3584229350090027,0.2328505516052246
HAT,panasonic_50,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_50_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_50_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_72.png,2800.6826171875,4.4990470938154745,0.03379077464342117,24.61029673304932,0.643614133199056,0.3126353323459625,0.27397435903549194
HAT,panasonic_57,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_57_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_57_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_73.png,2816.606201171875,16.997991290416756,0.039390262216329575,25.132796531669474,0.8537192940711975,0.11609403043985367,0.15387725830078125
HAT,panasonic_60,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_60_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_60_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_74.png,2815.434326171875,5.7251257883496285,0.02598036639392376,27.783780540950364,0.7874022324879965,0.22198380529880524,0.18378770351409912
HAT,panasonic_62,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_62_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_62_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_75.png,2817.84619140625,8.61074481637047,0.01651049591600895,33.46214341676727,0.8466353615125021,0.3158261775970459,0.25941693782806396
HAT,panasonic_85,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/panasonic_85_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/panasonic_85_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_76.png,2809.578857421875,5.646992029603963,0.016876788809895515,28.736931121719515,0.7816760540008545,0.3306797444820404,0.3256949782371521
HAT,sony_1,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_1_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_1_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_88.png,2812.0205078125,7.97635152893672,0.04001466557383537,22.959670929881717,0.6748151779174805,0.505352258682251,0.2549532651901245
HAT,sony_100,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_100_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_100_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_77.png,2810.25390625,7.776360270304327,0.025423770770430565,25.99432490632941,0.8126042087872823,0.20959001779556274,0.19446051120758057
HAT,sony_107,/data/projectwork/sr_output/HAT_inference/DReal_x4/visualization/DReal_x4/sony_107_x1_DReal_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/HR/sony_107_x4.png,/home/projectwork/Deep_learning/VANSH_WORK/Internship/old/dataset/DRealSR-20231109T095957Z-004/DRealSR/Test_x4/LR/dreal4_78.png,2812.603515625,9.970256657628395,0.021493561565876007,24.968620812448982,0.8144233624140421,0.18783777952194214,0.20830011367797852
